City,Country,Humidity,Lat,Long,Temp,cloudiness,wind
puerto ayora,EC,100,-0.74,-90.35,70.21,92,11.43
geraldton,CA,76,49.72,-86.95,48.2,40,6.93
charters towers,AU,35,-20.07,146.27,77.59,0,7.74
athabasca,CA,94,54.72,-113.29,41.05,20,6.51
derzhavinsk,KZ,81,51.1,66.31,61.75,48,8.08
quang ngai,VN,82,15.12,108.8,80.38,56,3.15
port alfred,ZA,100,-33.59,26.89,55.9,0,4.38
torbay,CA,93,47.66,-52.73,46.4,40,5.82
cherskiy,RU,41,68.75,161.3,63.01,0,10.76
punta arenas,CL,80,-53.16,-70.91,35.6,0,2.24
grand gaube,MU,53,-20.01,57.66,73.4,75,13.87
chokurdakh,RU,64,70.62,147.9,60.58,48,17.47
cidreira,BR,97,-30.17,-50.22,60.4,88,12.21
tasiilaq,GL,86,65.61,-37.64,41.0,92,10.29
atuona,PF,100,-9.8,-139.03,79.3,0,15.68
lincoln,US,80,40.8,-96.67,62.28,1,5.82
paragominas,BR,96,-3.0,-47.35,68.86,0,2.71
srednekolymsk,RU,40,67.46,153.71,63.28,0,10.42
ribeira grande,PT,99,38.52,-28.7,74.35,36,4.83
ibra,OM,49,22.69,58.55,88.48,0,3.38
victoria,BN,79,5.28,115.24,87.01,75,3.36
rikitea,PF,99,-23.12,-134.97,73.54,56,15.01
barrow,AR,79,-38.31,-60.23,46.0,92,7.74
severnoye,RU,65,54.09,52.54,61.12,24,9.42
marystown,CA,100,47.17,-55.16,49.6,0,11.21
tanout,NE,79,14.97,8.88,76.42,32,2.93
finnsnes,NO,93,69.23,17.98,46.56,20,23.04
mataura,NZ,87,-46.19,168.86,48.61,88,5.84
whitley bay,GB,71,55.04,-1.44,53.6,0,8.05
nanortalik,GL,100,60.14,-45.24,39.34,80,15.23
east london,ZA,62,-33.02,27.91,51.8,0,5.82
iqaluit,CA,86,63.75,-68.52,37.4,75,9.17
la ronge,CA,93,55.1,-105.3,46.4,90,9.17
yellowknife,CA,75,62.45,-114.38,42.8,75,6.93
albany,US,83,42.65,-73.75,53.24,90,4.7
hasaki,JP,94,35.73,140.83,78.24,75,10.29
san borja,BO,69,-14.86,-66.75,68.41,0,2.15
imeni poliny osipenko,RU,40,52.42,136.49,60.13,0,9.19
kapaa,US,84,22.08,-159.32,80.2,75,12.75
hermanus,ZA,89,-34.42,19.24,39.43,0,3.6
warangal,IN,86,17.99,79.6,85.24,64,5.73
namtsy,RU,100,62.72,129.66,37.45,92,11.99
busselton,AU,93,-33.64,115.35,62.89,92,24.49
manjacaze,MZ,72,-24.71,33.88,65.8,44,15.12
ushuaia,AR,39,-54.81,-68.31,46.4,20,14.99
angoram,PG,78,-4.06,144.07,82.27,92,2.93
baisha,CN,100,19.23,109.45,77.86,36,2.71
cape town,ZA,100,-33.93,18.42,39.2,0,4.7
hobart,AU,42,-42.88,147.33,68.0,20,13.87
chuy,UY,92,-33.69,-53.46,52.84,0,10.98
bilma,NE,37,18.69,12.92,79.48,44,5.28
vanderhoof,CA,97,54.02,-124.02,46.18,68,1.7
