Compound,Negative,Neutral,Positive,Tweet Date,Tweets Ago,User
-0.4767,0.659,0.341,0.0,Mon Sep 17 22:45:03 +0000 2018,1,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:45:02 +0000 2018,2,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:45:00 +0000 2018,3,@BBCBreaking
0.2732,0.718,0.113,0.169,Mon Sep 17 22:44:59 +0000 2018,4,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:44:57 +0000 2018,5,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:44:55 +0000 2018,6,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:44:55 +0000 2018,7,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:44:54 +0000 2018,8,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:44:53 +0000 2018,9,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:44:51 +0000 2018,10,@BBCBreaking
0.0,1.0,0.0,0.0,Mon Sep 17 22:44:49 +0000 2018,11,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:44:40 +0000 2018,12,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:44:39 +0000 2018,13,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:44:37 +0000 2018,14,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:44:33 +0000 2018,15,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:44:30 +0000 2018,16,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:44:23 +0000 2018,17,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:44:21 +0000 2018,18,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:44:20 +0000 2018,19,@BBCBreaking
0.4939,0.543,0.0,0.457,Mon Sep 17 22:44:12 +0000 2018,20,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:44:05 +0000 2018,21,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:43:56 +0000 2018,22,@BBCBreaking
0.4404,0.818,0.0,0.182,Mon Sep 17 22:43:54 +0000 2018,23,@BBCBreaking
0.6249,0.796,0.0,0.204,Mon Sep 17 22:43:52 +0000 2018,24,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:43:50 +0000 2018,25,@BBCBreaking
0.128,0.505,0.222,0.273,Mon Sep 17 22:43:50 +0000 2018,26,@BBCBreaking
0.0,1.0,0.0,0.0,Mon Sep 17 22:43:47 +0000 2018,27,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:43:44 +0000 2018,28,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:43:41 +0000 2018,29,@BBCBreaking
0.4404,0.805,0.0,0.195,Mon Sep 17 22:43:38 +0000 2018,30,@BBCBreaking
0.5267,0.614,0.0,0.386,Mon Sep 17 22:43:38 +0000 2018,31,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:43:36 +0000 2018,32,@BBCBreaking
-0.5574,0.847,0.153,0.0,Mon Sep 17 22:43:35 +0000 2018,33,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:43:34 +0000 2018,34,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:43:33 +0000 2018,35,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:43:21 +0000 2018,36,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:43:19 +0000 2018,37,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:43:11 +0000 2018,38,@BBCBreaking
-0.6249,0.579,0.421,0.0,Mon Sep 17 22:43:08 +0000 2018,39,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:43:07 +0000 2018,40,@BBCBreaking
0.5719,0.654,0.0,0.346,Mon Sep 17 22:43:04 +0000 2018,41,@BBCBreaking
-0.1027,0.833,0.167,0.0,Mon Sep 17 22:43:03 +0000 2018,42,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:42:59 +0000 2018,43,@BBCBreaking
